pkid,sattag_program,device_id,ptt,body,device_wmo_ref,tag_type,common_name,species,release_lat,release_lon,release_site,state_country,release_date,recovery_date,age_class,sex,length,girth,estimated_mass,actual_mass,sample,comment,pi,institution,abstract,opendap_url,metadata
,ct140,ct140-166-15,153737,14166,Q9901016,SMRU CTD tag,Southern Elephant Seal,Mirounga leonina,-49.25,69.167,Kerguelen Islands,French Overseas Territory,7/1/18,,juvenile,male,255,190,355,329.5,Bloodspot; whisker (stable isotope),,Mark Hindell,IMAS,,,
,ct140,ct140-168-15,153774,14168,Q9901030,SMRU CTD tag,Southern Elephant Seal,Mirounga leonina,-49.25,69.167,Kerguelen Islands,French Overseas Territory,15/1/18,,adult,female,244,180,316.6666667,338,Bloodspot; whisker (stable isotope),,Mark Hindell,IMAS,,,
,ct140,ct140-169-15,153735,14169,Q9901035,SMRU CTD tag,Southern Elephant Seal,Mirounga leonina,-49.25,69.167,Kerguelen Islands,French Overseas Territory,18/1/18,,adult,female,238,177,310,325,Bloodspot; whisker (stable isotope),,Mark Hindell,IMAS,,,
,ct140,ct140-170-15,153724,14170,Q9901020,SMRU CTD tag,Southern Elephant Seal,Mirounga leonina,-49.25,69.167,Kerguelen Islands,French Overseas Territory,15/1/18,,juvenile,male,250,190,360,364.5,Bloodspot; whisker (stable isotope),,Mark Hindell,IMAS,,,
,ct140,ct140-171-15,153720,14171,Q9901031,SMRU CTD tag,Southern Elephant Seal,Mirounga leonina,-49.25,69.167,Kerguelen Islands,French Overseas Territory,19/1/18,,adult,female,224,164,320,278.5,Bloodspot; whisker (stable isotope),,Mark Hindell,IMAS,,,
,ct140,ct140-172-15,153719,14172,Q9901025,SMRU CTD tag,Southern Elephant Seal,Mirounga leonina,-49.25,69.167,Kerguelen Islands,French Overseas Territory,30/12/17,,adult,female,242,186,350,358.5,Bloodspot; whisker (stable isotope),,Mark Hindell,IMAS,,,
,ct140,ct140-173-15,153742,14173,Q9901017,SMRU CTD tag,Southern Elephant Seal,Mirounga leonina,-49.25,69.167,Kerguelen Islands,French Overseas Territory,8/1/18,,juvenile,male,253,172,326.25,298,Bloodspot; whisker (stable isotope),,Mark Hindell,IMAS,,,
,ct140,ct140-174-15,153733,14174,Q9901015,SMRU CTD tag,Southern Elephant Seal,Mirounga leonina,-49.25,69.167,Kerguelen Islands,French Overseas Territory,5/1/18,,juvenile,male,257,181,,344.5,Bloodspot; whisker (stable isotope),,Mark Hindell,IMAS,,,
,ct140,ct140-175-15,153723,14175,Q9901011,SMRU CTD tag,Southern Elephant Seal,Mirounga leonina,-49.25,69.167,Kerguelen Islands,French Overseas Territory,4/1/18,,juvenile,male,251,170,383.3333333,295.5,Bloodspot; whisker (stable isotope),,Mark Hindell,IMAS,,,
,ct140,ct140-176-15,153773,14176,Q9901022,SMRU CTD tag,Southern Elephant Seal,Mirounga leonina,-49.25,69.167,Kerguelen Islands,French Overseas Territory,30/12/17,,juvenile,male,266,182,352.5,367,Bloodspot; whisker (stable isotope),,Mark Hindell,IMAS,,,
,ct140,ct140-177-15,153740,14177,Q9901012,SMRU CTD tag,Southern Elephant Seal,Mirounga leonina,-49.25,69.167,Kerguelen Islands,French Overseas Territory,30/12/17,,juvenile,male,262,185,337.5,352,Bloodspot; whisker (stable isotope),,Mark Hindell,IMAS,,,
,ct140,ct140-178-15,153734,14178,Q9901013,SMRU CTD tag,Southern Elephant Seal,Mirounga leonina,-49.25,69.167,Kerguelen Islands,French Overseas Territory,27/12/17,,juvenile,male,257,171,342.5,316,Bloodspot; whisker (stable isotope),,Mark Hindell,IMAS,,,
,ct140,ct140-179-15,153743,14179,Q9901033,SMRU CTD tag,Southern Elephant Seal,Mirounga leonina,-49.25,69.167,Kerguelen Islands,French Overseas Territory,17/1/17,,adult,female,261,177,315,363,Bloodspot; whisker (stable isotope),,Mark Hindell,IMAS,,,
,ct140,ct140-188-15,153721,14188,Q9901018,SMRU CTD tag,Southern Elephant Seal,Mirounga leonina,-49.25,69.167,Kerguelen Islands,French Overseas Territory,8/1/18,,juvenile,male,252,177,331.25,311,Bloodspot; whisker (stable isotope),,Mark Hindell,IMAS,,,
,ct140,ct140-189-15,153722,14189,Q9901024,SMRU CTD tag,Southern Elephant Seal,Mirounga leonina,-49.25,69.167,Kerguelen Islands,French Overseas Territory,30/12/17,,adult,female,230,171,,293,Bloodspot; whisker (stable isotope),,Mark Hindell,IMAS,,,
,ct140,ct140-630BAT-13,122376,12630,,SMRU CTD tag,,,,,,,,,,,,,,,,,,,,,
,ct140,ct140-688BAT-13,122385,12688,,SMRU CTD tag,,,,,,,,,,,,,,,,,,,,,
,ct140,ct140-296BAT-14,136239,13296,,SMRU CTD tag,,,,,,,,,,,,,,,,,,,,,
,ct140,ct140-302BAT-14,136240,13302,,SMRU CTD tag,,,,,,,,,,,,,,,,,,,,,
,ct142,ct142-3-17,50095,12416,Q9901026,SMRU CTD tag,Australian Sea Lion,Neophoca cinerea,-36.06332799,137.4804682,Little Wiers,South Australia,26/1/18,,adult,male,189,142,,,"DNA - tissue,Whisker (Stable isotope)","Excellent condition, moulted, bites behind tag, potentially from shark, under jaw from other male","Simon Goldsworthy,Fred Bailleul,Sara-Lena Reinhold",SARDI,,,
,ct142,ct142-1-17,50096,14685,,SMRU SRDL CTD-Fluorometer,Australian Sea Lion,Neophoca cinerea,-35.99380627,137.3089961,Seal Bay - Kangaroo Island,South Australia,28/1/18,,adult,male,195,144,,,"DNA - tissue,Whisker (Stable isotope)","Excellent condition, moulted, animal is 11.9 years - 2005/06 cohort","Simon Goldsworthy,Fred Bailleul",SARDI,,,
,ct142,ct142-2-17,136230,13223,,SMRU SRDL CTD-Fluorometer,Australian Sea Lion,Neophoca cinerea,-32.12024634,132.1355726,Nuyts Reef,South Australia,27/2/18,,adult,male,212,145,,,DNA - tissue,"Excellent condition, moulted - pre-moult. Mate-guarding male, impressive shark bite scar recently healed on back. Recycled tag - cannot read body number.  Had dodgy pressure sensor that was re-fitted on last re-battery.  Jarrod did drone 3-D imaging trial while animal was recovering","Simon Goldsworthy,Tim Anderson",SARDI,,,
,ct144,ct144-F932BAT2-13,133013,12932,Q9901104,SMRU SRDL CTD-Fluorometer,Southern Elephant Seal,Mirounga leonina,-49.25,69.167,Kerguelen Islands,French Overseas Territory,21/10/18,,adult,female,210,143,,261.5,Bloodspot; whisker (stable isotope),,,,,,
,ct144,ct144-939BAT2-14,136204,12939,Q9901176,SMRU CTD tag,Southern Elephant Seal,Mirounga leonina,-49.25,69.167,Kerguelen Islands,French Overseas Territory,,,,,,,,,,,,,,,
,ct144,ct144-965BAT2-14,136212,12965,Q9901155,SMRU CTD tag,Southern Elephant Seal,Mirounga leonina,-49.25,69.167,Kerguelen Islands,French Overseas Territory,,,,,,,,,,,,,,,
,ct144,ct144-084BAT2-14,136217,13084,Q9901156,SMRU CTD tag,Southern Elephant Seal,Mirounga leonina,-49.25,69.167,Kerguelen Islands,French Overseas Territory,,,,,,,,,,,,,,,
,ct144,ct144-184BAT2-14,136223,13184,,SMRU CTD tag,,,,,,,,,,,,,,,,,,,,,
,ct144,ct144-186BAT2-14,136222,13186,Q9901161,SMRU CTD tag,Southern Elephant Seal,Mirounga leonina,-49.25,69.167,Kerguelen Islands,French Overseas Territory,,,,,,,,,,,,,,,
,ct144,ct144-190BAT2-14,136225,13190,Q9901137,SMRU CTD tag,Southern Elephant Seal,Mirounga leonina,-49.25,69.167,Kerguelen Islands,French Overseas Territory,,,,,,,,,,,,,,,
,ct144,ct144-278BAT-14,136242,13278,Q9901162,SMRU CTD tag,Southern Elephant Seal,Mirounga leonina,-49.25,69.167,Kerguelen Islands,French Overseas Territory,,,,,,,,,,,,,,,
,ct144,ct144-298BAT-14,146572,13298,Q9901164,SMRU CTD tag,Southern Elephant Seal,Mirounga leonina,-49.25,69.167,Kerguelen Islands,French Overseas Territory,,,,,,,,,,,,,,,
